Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,22uF,C59461
"C10, C12, C13, C14, C15, C16, C19, C2, C3, C8, C9",0603,11,0.1uF,C14663
C11,0603,1,4.7uF,C19666
"C17, C18",0603,2,30pF,C1658
D1,Nexperia_CFP3_SOD-123W,1,~,C8598
"D14, D15, D16, D17, D18, D19, D20",D_SOD-323,7,5V_TVS,C2835457
"FB1, FB2",0603,2,BLM18PG330SN1D,C1002
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,TYPE-C 16PIN 2MD(073),C2765186
J2,PinHeader_2x07_P1.27mm_Vertical_SMD,1,2x14 1.27mm SMD,C41376039
J6,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,1,S5B-PH-SM4-TB(LF)(SN),C265104
Q4,SOT-23,1,IRLML2502TRPBF,C2589
"R1, R3, R4, R5",0603,4,10k,C116677
"R10, R9",0603,2,0R,C21189
"R6, R7, R8",0603,3,5.1K,C23186
"STD1, STD2, STD3, STD4",standoff_SMTSO2540CTJ,4,SMTSO2540CTJ,C2916324
"SW1, SW2",SW_SPST_PTS645Sx43SMTR92,2,TS-1002S-08026C,C455116
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-FMN,
U5,LQFP-48_7x7mm_P0.5mm,1,STM32G030C8Tx,C529329
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8 MHz,C2682774
