Designator,Mid X,Mid Y,Rotation,Layer
C1,135.5,-75.46,0.0,top
C10,120.54,-89.355,270.0,top
C11,122.1,-89.375,270.0,top
C12,140.22,-83.315,270.0,top
C13,136.53,-71.21,270.0,top
C14,132.3,-75.4425,180.0,top
C15,113.795,-86.74,180.0,top
C16,112.505,-92.58,180.0,top
C17,119.66,-93.625,45.0,top
C18,119.56,-98.415,315.0,top
C19,130.47,-102.365,90.0,top
C2,135.35,-80.9425,270.0,top
C3,119.12,-76.505,0.0,top
C8,123.1,-86.9,0.0,top
C9,126.3,-89.0,180.0,top
D1,131.72,-73.47,180.0,top
D14,148.2425,-92.48,0.0,top
D15,137.77,-88.56,90.0,top
D16,139.85,-88.58,90.0,top
D17,134.7,-69.6,90.0,top
D18,148.2425,-90.4,0.0,top
D19,153.1775,-92.0,180.0,top
D20,148.22,-88.28,0.0,top
FB1,134.92,-72.99,90.0,top
FB2,123.2,-85.3,180.0,top
J1,128.02,-65.36,180.0,top
J2,152.57,-99.92,180.0,top
J6,151.47,-78.32,270.0,top
Q4,142.8,-77.0,270.0,top
R1,125.52,-100.325,90.0,top
R10,130.8,-85.2,0.0,top
R3,113.825,-85.1,0.0,top
R4,112.5,-94.2,0.0,top
R5,132.13,-102.375,270.0,top
R6,133.77,-102.375,90.0,top
R7,121.2,-71.7,270.0,top
R8,136.9,-65.6,0.0,top
R9,131.8,-86.9,0.0,top
STD1,114.32,-70.305,0.0,top
STD2,142.82,-70.305,0.0,top
STD3,114.32,-100.705,0.0,top
STD4,142.82,-100.705,0.0,top
SW1,107.0,-78.0,90.0,top
SW2,107.0,-93.0,90.0,top
U3,129.83,-80.035,0.0,top
U4,117.3,-80.195,270.0,top
U5,131.7,-93.865,270.0,top
Y2,121.68,-95.855,225.0,top
